section,bin1,bin2,n_obs,sse_bs,sse_sabr,sse_bartlett,mse_bs,mse_sabr,mse_bartlett,gain_sabr_vs_bs,gain_bart_vs_bs,relgain_bart_vs_sabr
BUCKET,2,6,149,1050.7297180829073,1534.220070755117,3364.2524110500763,7.051877302569848,10.296778998356489,22.57887524194682,-0.460147214218281,-2.2018247444150254,-1.192809542241387
BUCKET,2,7,82,427.6510481754216,1021.4368967844076,1339.6665095954177,5.215256685066117,12.456547521761069,16.337396458480704,-1.388482154182436,-2.1326159851849336,-0.311550927730172
BUCKET,3,1,1460,18708.142348108646,25453.56045272289,17077.734204997756,12.813796128841538,17.43394551556362,11.697078222601203,-0.3605605505399734,0.08714965456074375,0.32906305046330486
BUCKET,3,2,909,9104.373285799727,14652.237009544144,13754.782170114882,10.01581219559926,16.119072617760335,15.131773564482819,-0.6093625063020571,-0.5107884681714985,0.06125036326157429
BUCKET,3,3,752,8128.232888529941,14771.041625332107,14990.629256194463,10.808820330491944,19.642342586877803,19.93434741515221,-0.8172512805552221,-0.844266701234448,-0.014866089774316693
BUCKET,3,4,645,7024.534180444895,17221.945430428284,9916.133191969253,10.890750667356427,26.700690589811295,15.373849910029849,-1.4516850495754214,-0.41164281320946183,0.4242152704508567
BUCKET,3,5,686,6349.6401711864855,13691.863643760316,13085.558786318777,9.256035234965722,19.958984903440694,19.075158580639616,-1.1563211890165852,-1.0608346982713552,0.04428212792769415
BUCKET,3,6,247,2435.086827857447,5878.873609939785,7084.650585310515,9.858651124928937,23.801107732549735,28.682795891945407,-1.4142357236240368,-1.9094036829660266,-0.20510340166729346
BUCKET,3,7,71,605.8680350170881,1855.1321236522867,1699.3514617366977,8.53335260587448,26.128621459891363,23.934527630094333,-2.0619409119346654,-1.8048211219606074,0.08397281246410426
BUCKET,4,1,1537,25027.116991502622,36599.17353387637,22491.630928907376,16.283094984712182,23.812084277082867,14.633461892587754,-0.4623807267254463,0.10130955409111286,0.38546068784616094
BUCKET,4,2,950,12373.354121894994,23511.449979078996,15727.369973353632,13.024583286205257,24.748894714819997,16.555126287740666,-0.9001678726283953,-0.2710676360198576,0.3310761357828551
BUCKET,4,3,830,10687.001456185375,27236.612853606995,16124.210627558867,12.875905368898042,32.81519620916505,19.426759792239597,-1.548573888126787,-0.5087684505017604,0.4079950133952318
BUCKET,4,4,720,9609.653747163477,28277.105887441114,12853.743096139337,13.34674131550483,39.27375817700155,17.85242096686019,-1.942572815985986,-0.3375864973213454,0.5454363983604082
BUCKET,4,5,753,8697.09673999644,23439.271646347825,16446.343342143104,11.549929269583584,31.127850791962583,21.841093415860694,-1.695068520803578,-0.8910153392348994,0.29834238920535394
BUCKET,4,6,369,4356.7784638418925,14134.540886420466,10052.449297290632,11.806987706888597,38.30498885208798,27.24241001975781,-2.2442643122038275,-1.3073124742785716,0.28880255976701996
