date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-13,25,0.0684931506849315,128,0.17151172066511355,-0.3338782138785512,1.8975974479170608,0.012653155447431529
2023-02-13,28,0.07671232876712329,95,0.16717672917190524,-0.3996607418634265,1.960602593405364,0.00823513163716958
2023-02-13,29,0.07945205479452055,47,0.1778730105584847,-0.3676072343365928,1.7006639922071711,0.011529238709730159
2023-02-13,30,0.0821917808219178,47,0.18205901272018593,-0.43517311995981606,1.3406277374968654,0.011678085860990912
2023-02-13,32,0.08767123287671233,532,0.15755787898920037,-0.2641904125333123,2.5053941474719252,0.025772851375850815
2023-02-13,35,0.0958904109589041,50,0.1753516766891043,-0.4350880835563417,1.620146214265726,0.009029673200376998
2023-02-13,39,0.10684931506849316,129,0.1863418104197035,-0.5585277951050798,1.5384573611425938,0.008524349608710673
2023-02-13,46,0.12602739726027398,296,0.1761681136441885,-0.4515559628675833,1.6560294257717203,0.015823210334520568
2023-02-13,60,0.1643835616438356,86,0.1819334090019776,-0.6290387528553638,1.431176915007304,0.0038537409983825975
2023-02-13,67,0.18356164383561643,553,0.17462721430355835,-0.53981145063669,1.6710426097572053,0.010235367547561791
2023-02-13,74,0.20273972602739726,282,0.17781122742792194,-0.6579994859674483,1.5458337820389203,0.006712976948373989
2023-02-13,95,0.2602739726027397,504,0.17690600334495904,-0.5896886852523376,1.4400590785431036,0.009384980686012095
2023-02-13,107,0.29315068493150687,155,0.17956219148407385,-0.6973823555307088,1.2094224355612537,0.00769411017276631
2023-02-13,123,0.336986301369863,465,0.17981926164690315,-0.6464016674242111,1.2741113955543868,0.00646067898456733
2023-02-13,137,0.37534246575342467,314,0.1822069700762832,-0.7253768952691447,1.1944288433963182,0.006144599938567457
2023-02-13,158,0.4328767123287671,201,0.1805326127424423,-0.7009407072762569,1.2301874894744547,0.0034078468404769354
2023-02-13,168,0.4602739726027397,126,0.1811872253894654,-0.7150930248977165,1.183377348932765,0.004284579332433768
2023-02-13,186,0.5095890410958904,121,0.18203569465018435,-0.712368623747311,1.1079680948696864,0.004614150620019783
2023-02-14,2,0.005479452054794521,61,0.23055098838084231,0.1,3.0,0.13182165515018937
2023-02-14,3,0.00821917808219178,294,0.4019639617720097,0.1,3.0,0.32502255033190697
